|train_time|pred_time|accuracy|f1_macro|recall_macro|precision_macro
0|88.35679984092712|16.77651572227478|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
1|78.84427070617676|17.32460355758667|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
2|78.02660393714905|18.02414321899414|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
3|83.72731065750122|19.42449927330017|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
4|88.48732590675354|22.043895959854126|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
5|80.02187085151672|17.39788007736206|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
6|81.09589695930481|17.43798279762268|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
7|79.8014976978302|17.99291205406189|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
8|78.6226601600647|17.92535424232483|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
9|78.98016691207886|17.195940256118774|0.8822961225334621|0.8825724094244092|0.8826660275885786|0.8835553797840573
